,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13
count,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0,715.0
mean,0.030044730044730027,0.03210009831671117,0.006474403262831813,0.1663307280954344,0.03425652260925437,0.009747400158809922,0.049185936762623936,0.41458541458541454,0.06328453321259075,0.15608391608391717,0.09051960697530267,0.031008016373869886,0.078958910911574
std,0.06474318824243122,0.09378266410504876,0.04330087988522539,0.17198629045810854,0.07577986135820054,0.05402136522166685,0.10136492048563668,0.29690204848930485,0.0996576816896615,0.1463899619490082,0.12082953696837573,0.08807925822860427,0.11097629698047436
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.000587026709715292,0.0006128953174797744,0.044117647058823525,0.0005751061207722854,0.0006582556226001097,0.005368098159509203,0.14285714285714285,0.009112709832134292,0.0,0.02531645569620253,0.0,0.011834319526627219
50%,0.009009009009009009,0.001761080129145876,0.0015935278254474135,0.10294117647058823,0.007175133506778037,0.0026330224904004386,0.015337423312883436,0.36734693877551017,0.02853717026378897,0.2,0.05063291139240506,0.0,0.04142011834319526
75%,0.03153153153153153,0.013795127678309363,0.0047805834763422405,0.22058823529411764,0.04050390250581953,0.00746023038946791,0.039110429447852764,0.6530612244897959,0.07266187050359713,0.2,0.10126582278481013,0.024390243902439025,0.10355029585798817
max,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
